id,dex_number,pokemon,form,variant_type,stage,evolution_family,evolves_from,evolves_to,final_evolution_targets,mega_targets,type_1,type_2,base_attack,base_defense,base_stamina,max_cp_estimate,current_stage_rating,final_potential_rating,main_uses,raid_rating,gym_attack_rating,gym_defense_rating,league_rating,best_fast_move_pve,best_charged_move_1_pve,best_charged_move_2_pve,best_fast_move_pvp,best_charged_move_1_pvp,best_charged_move_2_pvp,needs_legacy_move,legacy_move,event_wait_recommended,recommended_wait_reason,bad_stats_action,good_stats_action,storage_priority,trade_value,evolve_priority,power_up_priority,regional,legendary,mythical,ultra_beast,can_be_shadow,shadow_relevant,purified_relevant,can_be_mega,mega_relevant,availability_status,notes,source_notes,last_reviewed
blastoise_mega,9,Blastoise,Mega,mega,mega,Squirtle,Blastoise,,Blastoise (Mega),,Water,,264,237,188,4455,strong,strong,strong raid; strong gym attack; decent gym defense; mega attacker,strong,strong,decent,bad,Water Gun,Hydro Cannon,Hydro Pump,Water Gun,Hydro Cannon,Hydro Pump,yes,Hydro Cannon,yes,Better with Hydro Cannon,trade,keep,high,high,none,high,no,no,no,no,yes,yes,no,no,yes,game master present,Often wants Hydro Cannon; wait for event/Elite TM before serious investment. Temporary Mega/Primal-style evolution row.,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
caterpie,10,Caterpie,,normal,base,Caterpie,,Metapod,Butterfree,,Bug,,55,55,128,494,bad,bad,pokedex/collection,bad,bad,bad,bad,Bug Bite,Struggle,,Bug Bite,Struggle,,no,,no,,transfer,keep one,low,low,low,none,no,no,no,no,yes,no,no,no,no,game master present,Low priority; usually safe to transfer extras.,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
metapod,11,Metapod,,normal,middle,Caterpie,Caterpie,Butterfree,Butterfree,,Bug,,45,80,137,509,bad,bad,pokedex/collection,bad,bad,bad,bad,Bug Bite,Struggle,,Bug Bite,Struggle,,no,,no,,transfer,keep one,low,low,low,none,no,no,no,no,yes,no,no,no,no,game master present,Low priority; usually safe to transfer extras.,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
butterfree,12,Butterfree,,normal,final,Caterpie,Metapod,,Butterfree,,Bug,Flying,167,137,155,2065,bad,bad,pokedex/collection,bad,bad,bad,bad,Struggle Bug,Bug Buzz,Signal Beam,Struggle Bug,Bug Buzz,Signal Beam,no,,no,,transfer,keep one,low,low,none,none,no,no,no,no,yes,no,no,no,no,game master present,Low priority; usually safe to transfer extras.,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
weedle,13,Weedle,,normal,base,Weedle,,Kakuna,Beedrill,,Bug,Poison,63,50,120,515,bad,top-tier,pokedex/collection,bad,bad,bad,bad,Bug Bite,Struggle,,Bug Bite,Struggle,,no,,no,,trade,keep,medium,medium,medium,none,no,no,no,no,yes,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
kakuna,14,Kakuna,,normal,middle,Weedle,Weedle,Beedrill,Beedrill,,Bug,Poison,46,75,128,488,bad,top-tier,pokedex/collection,bad,bad,bad,bad,Bug Bite,Struggle,,Bug Bite,Struggle,,no,,no,,trade,keep,medium,medium,medium,none,no,no,no,no,yes,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
beedrill,15,Beedrill,,normal,final,Weedle,Kakuna,,Beedrill,Beedrill (Mega),Bug,Poison,169,130,163,2087,decent,top-tier,decent raid; decent gym attack; decent great league; decent ultra league,decent,decent,bad,decent,Poison Jab,Sludge Bomb,X Scissor,Poison Jab,Sludge Bomb,X Scissor,no,,no,,trade,keep,high,high,none,medium,no,no,no,no,yes,yes,no,yes,yes,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
beedrill_mega,15,Beedrill,Mega,mega,mega,Weedle,Beedrill,,Beedrill (Mega),,Bug,Poison,303,148,163,3824,top-tier,top-tier,top-tier raid; top-tier gym attack; decent great league; decent ultra league; mega attacker,top-tier,top-tier,bad,decent,Poison Jab,Sludge Bomb,X Scissor,Poison Jab,Sludge Bomb,X Scissor,no,,no,,trade,keep,high,high,none,high,no,no,no,no,yes,yes,no,no,yes,game master present,Temporary Mega/Primal-style evolution row.,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
pidgey,16,Pidgey,,normal,base,Pidgey,,Pidgeotto,Pidgeot,,Normal,Flying,85,73,120,769,bad,strong,pokedex/collection,bad,bad,bad,bad,Quick Attack,Aerial Ace,Air Cutter,Quick Attack,Aerial Ace,Air Cutter,no,,no,,trade,keep,medium,medium,medium,none,no,no,no,no,yes,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
pidgeotto,17,Pidgeotto,,normal,middle,Pidgey,Pidgey,Pidgeot,Pidgeot,,Normal,Flying,117,105,160,1350,bad,strong,pokedex/collection,bad,bad,bad,bad,Steel Wing,Aerial Ace,Air Cutter,Steel Wing,Aerial Ace,Air Cutter,no,,no,,trade,keep,medium,medium,medium,none,no,no,no,no,yes,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
pidgeot,18,Pidgeot,,normal,final,Pidgey,Pidgeotto,,Pidgeot,Pidgeot (Mega),Normal,Flying,166,154,195,2407,bad,strong,decent great league; decent ultra league,bad,bad,bad,decent,Gust,Brave Bird,Aerial Ace,Gust,Brave Bird,Aerial Ace,no,,no,,trade,keep,high,high,none,medium,no,no,no,no,yes,yes,no,yes,yes,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
pidgeot_mega,18,Pidgeot,Mega,mega,mega,Pidgey,Pidgeot,,Pidgeot (Mega),,Normal,Flying,280,175,195,4160,strong,strong,strong raid; strong gym attack; decent great league; decent ultra league; mega attacker,strong,strong,budget,decent,Gust,Brave Bird,Aerial Ace,Gust,Brave Bird,Aerial Ace,no,,no,,trade,keep,high,high,none,high,no,no,no,no,yes,yes,no,no,yes,game master present,Temporary Mega/Primal-style evolution row.,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
rattata,19,Rattata,,normal,base,Rattata,,Raticate,Raticate,,Normal,,103,70,102,830,bad,bad,pokedex/collection,bad,bad,bad,bad,Quick Attack,Hyper Fang,Body Slam,Quick Attack,Hyper Fang,Body Slam,no,,no,,transfer,keep one,low,low,low,none,no,no,no,no,yes,no,no,no,no,game master present,Low priority; usually safe to transfer extras.,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
rattata_rattata_alola,19,Rattata,Alolan,form,base,Rattata,,Raticate (Alolan),Raticate (Alolan),,Dark,Normal,103,70,102,830,bad,bad,pokedex/collection,bad,bad,bad,bad,Quick Attack,Crunch,Hyper Fang,Quick Attack,Crunch,Hyper Fang,no,,no,,transfer,keep one,low,low,low,none,yes,no,no,no,yes,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
raticate,20,Raticate,,normal,final,Rattata,Rattata,,Raticate,,Normal,,161,139,146,1956,bad,bad,pokedex/collection,bad,bad,bad,bad,Quick Attack,Hyper Fang,Hyper Beam,Quick Attack,Hyper Fang,Hyper Beam,no,,no,,transfer,keep one,low,low,none,none,no,no,no,no,yes,no,no,no,no,game master present,Low priority; usually safe to transfer extras.,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
raticate_raticate_alola,20,Raticate,Alolan,form,final,Rattata,Rattata (Alolan),,Raticate (Alolan),,Dark,Normal,135,154,181,1927,bad,bad,pokedex/collection,bad,bad,bad,bad,Bite,Crunch,Hyper Fang,Bite,Crunch,Hyper Fang,no,,no,,transfer,keep one,low,low,none,none,yes,no,no,no,yes,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
spearow,21,Spearow,,normal,base,Spearow,,Fearow,Fearow,,Normal,Flying,112,60,120,902,bad,bad,pokedex/collection,bad,bad,bad,bad,Quick Attack,Drill Peck,Sky Attack,Quick Attack,Drill Peck,Sky Attack,no,,no,,transfer,keep one,low,low,low,none,no,no,no,no,no,no,no,no,no,game master present,Low priority; usually safe to transfer extras.,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
fearow,22,Fearow,,normal,final,Spearow,Spearow,,Fearow,,Normal,Flying,182,133,163,2257,bad,bad,pokedex/collection,bad,bad,bad,bad,Steel Wing,Drill Peck,Fly,Steel Wing,Drill Peck,Fly,no,,no,,transfer,keep one,low,low,none,none,no,no,no,no,no,no,no,no,no,game master present,Low priority; usually safe to transfer extras.,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
ekans,23,Ekans,,normal,base,Ekans,,Arbok,Arbok,,Poison,,110,97,111,1048,bad,bad,pokedex/collection,bad,bad,bad,bad,Acid,Sludge Bomb,Gunk Shot,Acid,Sludge Bomb,Gunk Shot,no,,no,,transfer,keep one,low,low,low,none,no,no,no,no,yes,no,no,no,no,game master present,Low priority; usually safe to transfer extras.,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
arbok,24,Arbok,,normal,final,Ekans,Ekans,,Arbok,,Poison,,167,153,155,2171,bad,bad,pokedex/collection,bad,bad,bad,bad,Acid,Gunk Shot,Sludge Wave,Acid,Gunk Shot,Sludge Wave,no,,no,,transfer,keep one,low,low,none,none,no,no,no,no,yes,no,no,no,no,game master present,Low priority; usually safe to transfer extras.,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
pikachu,25,Pikachu,,normal,middle,Pikachu,Pichu,Raichu,Raichu,,Electric,,112,96,111,1060,bad,bad,pokedex/collection,bad,bad,bad,bad,Quick Attack,Discharge,Wild Charge,Quick Attack,Discharge,Wild Charge,no,,no,,transfer,keep one,low,low,low,none,no,no,no,no,no,no,no,no,no,game master present,Low priority; usually safe to transfer extras.,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
raichu,26,Raichu,,normal,final,Pikachu,Pikachu,,Raichu,,Electric,,193,151,155,2467,bad,bad,pokedex/collection,bad,bad,bad,bad,Volt Switch,Wild Charge,Thunder Punch,Volt Switch,Wild Charge,Thunder Punch,no,,no,,transfer,keep one,low,low,none,none,no,no,no,no,no,no,no,no,no,game master present,Low priority; usually safe to transfer extras.,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
raichu_raichu_alola,26,Raichu,Alolan,form,single,Pikachu,,,Raichu (Alolan),,Electric,Psychic,201,154,155,2585,bad,bad,pokedex/collection,bad,bad,bad,bad,Volt Switch,Psychic,Wild Charge,Volt Switch,Psychic,Wild Charge,no,,no,,transfer,keep one,low,low,none,none,yes,no,no,no,no,no,no,no,no,game master present,Low priority; usually safe to transfer extras.,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
sandshrew,27,Sandshrew,,normal,base,Sandshrew,,Sandslash,Sandslash,,Ground,,126,120,137,1426,bad,budget,pokedex/collection,bad,bad,bad,bad,Scratch,Dig,Sand Tomb,Scratch,Dig,Sand Tomb,no,,no,,transfer,keep one,low,low,low,none,no,no,no,no,yes,no,no,no,no,game master present,Low priority; usually safe to transfer extras.,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
sandshrew_sandshrew_alola,27,Sandshrew,Alolan,form,base,Sandshrew,,Sandslash (Alolan),Sandslash (Alolan),,Ice,Steel,125,129,137,1462,bad,budget,pokedex/collection,bad,bad,bad,bad,Metal Claw,Gyro Ball,Blizzard,Metal Claw,Gyro Ball,Blizzard,no,,no,,trade,keep,high,high,high,none,yes,no,no,no,yes,no,no,no,no,game master present,"Weak current stage, but valuable evolution line.",PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
sandslash,28,Sandslash,,normal,final,Sandshrew,Sandshrew,,Sandslash,,Ground,,182,175,181,2684,bad,budget,pokedex/collection,bad,bad,bad,bad,Metal Claw,Scorching Sands,Bulldoze,Metal Claw,Scorching Sands,Bulldoze,no,,no,,transfer,keep one,low,low,none,none,no,no,no,no,yes,no,no,no,no,game master present,Low priority; usually safe to transfer extras.,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
sandslash_sandslash_alola,28,Sandslash,Alolan,form,final,Sandshrew,Sandshrew (Alolan),,Sandslash (Alolan),,Ice,Steel,177,195,181,2750,budget,budget,strong great league; strong ultra league,bad,bad,budget,strong,Metal Claw,Gyro Ball,Ice Punch,Metal Claw,Gyro Ball,Ice Punch,no,,no,,trade,keep,high,high,none,high,yes,no,no,no,yes,yes,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
nidoran_female,29,Nidoran♀,,normal,base,Nidoran Female,,Nidorina,Nidoqueen,,Poison,,86,89,146,922,bad,budget,pokedex/collection,bad,bad,bad,bad,Bite,Sludge Bomb,Body Slam,Bite,Sludge Bomb,Body Slam,no,,no,,trade,keep,medium,medium,medium,none,no,no,no,no,yes,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
nidorina,30,Nidorina,,normal,middle,Nidoran Female,Nidoran♀,Nidoqueen,Nidoqueen,,Poison,,117,120,172,1480,bad,budget,pokedex/collection,bad,bad,bad,bad,Bite,Sludge Bomb,Dig,Bite,Sludge Bomb,Dig,no,,no,,trade,keep,medium,medium,medium,none,no,no,no,no,yes,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
nidoqueen,31,Nidoqueen,,normal,final,Nidoran Female,Nidorina,,Nidoqueen,,Poison,Ground,180,173,207,2812,budget,budget,decent great league; decent ultra league,bad,bad,budget,decent,Mud Slap,Earth Power,Earthquake,Mud Slap,Earth Power,Earthquake,no,,no,,trade,keep,medium,medium,none,medium,no,no,no,no,yes,yes,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
nidoran_male,32,Nidoran♂,,normal,base,Nidoran Male,,Nidorino,Nidoking,,Poison,,105,76,130,973,bad,bad,pokedex/collection,bad,bad,bad,bad,Poison Sting,Sludge Bomb,Body Slam,Poison Sting,Sludge Bomb,Body Slam,no,,no,,trade,keep one,medium,medium,medium,none,no,no,no,no,yes,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
nidorino,33,Nidorino,,normal,middle,Nidoran Male,Nidoran♂,Nidoking,Nidoking,,Poison,,137,111,156,1575,bad,bad,pokedex/collection,bad,bad,bad,bad,Poison Jab,Sludge Bomb,Dig,Poison Jab,Sludge Bomb,Dig,no,,no,,trade,keep one,medium,medium,medium,none,no,no,no,no,yes,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
nidoking,34,Nidoking,,normal,final,Nidoran Male,Nidorino,,Nidoking,,Poison,Ground,204,156,191,2902,bad,bad,decent great league; decent ultra league,bad,bad,bad,decent,Poison Jab,Earth Power,Sand Tomb,Poison Jab,Earth Power,Sand Tomb,no,,no,,trade,keep one,medium,medium,none,medium,no,no,no,no,yes,yes,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
clefairy,35,Clefairy,,normal,middle,Clefairy,Cleffa,Clefable,Clefable,,Fairy,,107,108,172,1306,bad,decent,pokedex/collection,bad,bad,bad,bad,Pound,Disarming Voice,Moonblast,Pound,Disarming Voice,Moonblast,no,,no,,trade,keep,high,high,high,none,no,no,no,no,no,no,no,no,no,game master present,"Weak current stage, but valuable evolution line.",PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
clefable,36,Clefable,,normal,final,Clefairy,Clefairy,,Clefable,,Fairy,,178,162,216,2755,decent,decent,decent gym defense; strong great league; strong ultra league,bad,bad,decent,strong,Charm,Dazzling Gleam,Meteor Mash,Charm,Dazzling Gleam,Meteor Mash,no,,no,,trade,keep,high,high,none,high,no,no,no,no,no,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
vulpix,37,Vulpix,,normal,base,Vulpix,,Ninetales,Ninetales,,Fire,,96,109,116,998,bad,budget,pokedex/collection,bad,bad,bad,bad,Ember,Flame Charge,Weather Ball Fire,Ember,Flame Charge,Weather Ball Fire,no,,no,,transfer,keep,low,low,low,none,no,no,no,no,yes,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
vulpix_vulpix_alola,37,Vulpix,Alolan,form,base,Vulpix,,Ninetales (Alolan),Ninetales (Alolan),,Ice,,96,109,116,998,bad,budget,pokedex/collection,bad,bad,bad,bad,Zen Headbutt,Ice Beam,Weather Ball Ice,Zen Headbutt,Ice Beam,Weather Ball Ice,no,,no,,trade,keep,high,high,high,none,yes,no,no,no,yes,no,no,no,no,game master present,"Weak current stage, but valuable evolution line.",PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
ninetales,38,Ninetales,,normal,final,Vulpix,Vulpix,,Ninetales,,Fire,,169,190,177,2577,budget,budget,pokedex/collection,bad,bad,budget,bad,Fire Spin,Weather Ball Fire,Overheat,Fire Spin,Weather Ball Fire,Overheat,no,,no,,transfer,keep,low,low,none,low,no,no,no,no,yes,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
ninetales_ninetales_alola,38,Ninetales,Alolan,form,final,Vulpix,Vulpix (Alolan),,Ninetales (Alolan),,Ice,Fairy,170,193,177,2610,budget,budget,strong great league; strong ultra league,bad,bad,budget,strong,Charm,Dazzling Gleam,Ice Beam,Charm,Dazzling Gleam,Ice Beam,no,,no,,trade,keep,high,high,none,high,yes,no,no,no,yes,yes,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
jigglypuff,39,Jigglypuff,,normal,middle,Jigglypuff,Igglybuff,Wigglytuff,Wigglytuff,,Normal,Fairy,80,41,251,818,bad,bad,pokedex/collection,bad,bad,bad,bad,Pound,Disarming Voice,Dazzling Gleam,Pound,Disarming Voice,Dazzling Gleam,no,,no,,trade,keep one,high,high,high,none,no,no,no,no,no,no,no,no,no,game master present,"Weak current stage, but valuable evolution line.",PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
wigglytuff,40,Wigglytuff,,normal,final,Jigglypuff,Jigglypuff,,Wigglytuff,,Normal,Fairy,156,90,295,2178,bad,bad,strong great league; strong ultra league,bad,bad,bad,strong,Charm,Disarming Voice,Dazzling Gleam,Charm,Disarming Voice,Dazzling Gleam,no,,no,,trade,keep one,high,high,none,high,no,no,no,no,no,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
zubat,41,Zubat,,normal,base,Zubat,,Golbat,Crobat,,Poison,Flying,83,73,120,754,bad,budget,pokedex/collection,bad,bad,bad,bad,Bite,Sludge Bomb,Air Cutter,Bite,Sludge Bomb,Air Cutter,no,,no,,transfer,keep,low,low,low,none,no,no,no,no,yes,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
golbat,42,Golbat,,normal,middle,Zubat,Zubat,Crobat,Crobat,,Poison,Flying,161,150,181,2234,bad,budget,pokedex/collection,bad,bad,bad,bad,Wing Attack,Shadow Ball,Ominous Wind,Wing Attack,Shadow Ball,Ominous Wind,no,,no,,transfer,keep,low,low,low,none,no,no,no,no,yes,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
oddish,43,Oddish,,normal,base,Oddish,,Gloom,Vileplume; Bellossom,,Grass,Poison,131,112,128,1389,bad,budget,pokedex/collection,bad,bad,bad,bad,Razor Leaf,Sludge Bomb,Seed Bomb,Razor Leaf,Sludge Bomb,Seed Bomb,no,,no,,transfer,keep,low,low,low,none,no,no,no,no,yes,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
gloom,44,Gloom,,normal,middle,Oddish,Oddish,Vileplume; Bellossom,Vileplume; Bellossom,,Grass,Poison,153,136,155,1900,bad,budget,pokedex/collection,bad,bad,bad,bad,Razor Leaf,Sludge Bomb,Petal Blizzard,Razor Leaf,Sludge Bomb,Petal Blizzard,no,,no,,transfer,keep,low,low,low,none,no,no,no,no,yes,no,no,no,no,game master present,,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
vileplume,45,Vileplume,,normal,final,Oddish,Gloom,,Vileplume,,Grass,Poison,202,167,181,2893,bad,budget,pokedex/collection,bad,bad,bad,bad,Razor Leaf,Solar Beam,Sludge Bomb,Razor Leaf,Solar Beam,Sludge Bomb,no,,no,,transfer,keep one,low,low,none,none,no,no,no,no,yes,no,no,no,no,game master present,Low priority; usually safe to transfer extras.,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
paras,46,Paras,,normal,base,Paras,,Parasect,Parasect,,Bug,Grass,121,99,111,1150,bad,bad,pokedex/collection,bad,bad,bad,bad,Bug Bite,Seed Bomb,X Scissor,Bug Bite,Seed Bomb,X Scissor,no,,no,,transfer,keep one,low,low,low,none,no,no,no,no,no,no,no,no,no,game master present,Low priority; usually safe to transfer extras.,PokeMiners Game Master + heuristic/curated evaluation,2026-06-30
